state,category,number,date
texas,Preparedness Organizations,0,2022-06-05
texas,Faith-based Organizations,0,2022-06-05
texas,"Museums, Libraries, Parks, etc.",0,2022-06-05
texas,Animal Shelter/Service Providers,0,2022-06-05
texas,Agriculture/Livestock Sector,0,2022-06-05
texas,Volunteer Radio Groups,0,2022-06-05
texas,Science/Engineering Organizations,0,2022-06-05
texas,Media Organizations,0,2022-06-05
texas,Other,0,2022-06-05
uppermidwest,"<tr><td align=""left""><a href=""https://www.shakeout.org/uppermidwest/participant_list.php?start=uppermidwest&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">0</td></tr>",0,2022-06-05
uppermidwest,Childcare and Pre-Schools,0,2022-06-05
uppermidwest,K-12 Schools and Districts,0,2022-06-05
uppermidwest,Colleges and Universities,0,2022-06-05
uppermidwest,Local Government,0,2022-06-05
uppermidwest,State Government,0,2022-06-05
uppermidwest,Federal/National Government (Including Military),0,2022-06-05
uppermidwest,Tribes/Indigenous Peoples,0,2022-06-05
uppermidwest,Businesses,0,2022-06-05
uppermidwest,Hotels and Other Lodgings,0,2022-06-05
uppermidwest,Healthcare,0,2022-06-05
uppermidwest,Senior Facilities/Communities,0,2022-06-05
uppermidwest,Disability/AFN Organizations,0,2022-06-05
uppermidwest,Non-Profit Organizations,0,2022-06-05
uppermidwest,Neighborhood Groups,0,2022-06-05
uppermidwest,Preparedness Organizations,0,2022-06-05
uppermidwest,Faith-based Organizations,0,2022-06-05
uppermidwest,"Museums, Libraries, Parks, etc.",0,2022-06-05
uppermidwest,Animal Shelter/Service Providers,0,2022-06-05
uppermidwest,Agriculture/Livestock Sector,0,2022-06-05
uppermidwest,Volunteer Radio Groups,0,2022-06-05
uppermidwest,Science/Engineering Organizations,0,2022-06-05
uppermidwest,Media Organizations,0,2022-06-05
uppermidwest,Other,0,2022-06-05
usvi,"<tr><td align=""left""><a href=""https://www.shakeout.org/usvi/participant_list.php?start=usvi&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">0</td></tr>",0,2022-06-05
usvi,Childcare and Pre-Schools,113,2022-06-05
usvi,K-12 Schools and Districts,0,2022-06-05
usvi,Colleges and Universities,0,2022-06-05
usvi,Local Government,0,2022-06-05
usvi,State Government,0,2022-06-05
usvi,Federal/National Government (Including Military),0,2022-06-05
usvi,Businesses,0,2022-06-05
usvi,Hotels and Other Lodgings,0,2022-06-05
usvi,Healthcare,0,2022-06-05
usvi,Senior Facilities/Communities,0,2022-06-05
usvi,Disability/AFN Organizations,0,2022-06-05
usvi,Non-Profit Organizations,0,2022-06-05
usvi,Neighborhood Groups,0,2022-06-05
usvi,Preparedness Organizations,0,2022-06-05
usvi,Faith-based Organizations,0,2022-06-05
usvi,"Museums, Libraries, Parks, etc.",0,2022-06-05
usvi,Animal Shelter/Service Providers,0,2022-06-05
usvi,Agriculture/Livestock Sector,0,2022-06-05
usvi,Volunteer Radio Groups,0,2022-06-05
usvi,Science/Engineering Organizations,0,2022-06-05
usvi,Media Organizations,0,2022-06-05
usvi,Other,0,2022-06-05
utah,"<tr><td align=""left""><a href=""https://www.shakeout.org/utah/participant_list.php?start=utah&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">2,129</td></tr>","2,129",2022-06-05
utah,Childcare and Pre-Schools,"8,913",2022-06-05
utah,K-12 Schools and Districts,"623,836",2022-06-05
utah,Colleges and Universities,"143,052",2022-06-05
utah,Local Government,"18,298",2022-06-05
utah,State Government,"21,361",2022-06-05
utah,Federal/National Government (Including Military),219,2022-06-05
utah,Tribes/Indigenous Peoples,25,2022-06-05
utah,Businesses,"21,945",2022-06-05
utah,Hotels and Other Lodgings,0,2022-06-05
utah,Healthcare,"14,339",2022-06-05
utah,Senior Facilities/Communities,"3,792",2022-06-05
utah,Disability/AFN Organizations,591,2022-06-05
utah,Non-Profit Organizations,"4,643",2022-06-05
utah,Neighborhood Groups,"2,955",2022-06-05
utah,Preparedness Organizations,766,2022-06-05
utah,Faith-based Organizations,"14,542",2022-06-05
utah,"Museums, Libraries, Parks, etc.",90,2022-06-05
utah,Animal Shelter/Service Providers,0,2022-06-05
utah,Agriculture/Livestock Sector,0,2022-06-05
utah,Volunteer Radio Groups,513,2022-06-05
utah,Science/Engineering Organizations,156,2022-06-05
utah,Media Organizations,230,2022-06-05
utah,Other,982,2022-06-05
washington,"<tr><td align=""left""><a href=""https://www.shakeout.org/washington/participant_list.php?start=washington&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">92</td></tr>",92,2022-06-05
washington,Childcare and Pre-Schools,0,2022-06-05
washington,K-12 Schools and Districts,"41,812",2022-06-05
washington,Colleges and Universities,4,2022-06-05
washington,Local Government,909,2022-06-05
washington,State Government,"7,051",2022-06-05
washington,Federal/National Government (Including Military),0,2022-06-05
washington,Tribes/Indigenous Peoples,640,2022-06-05
washington,Businesses,"4,302",2022-06-05
washington,Hotels and Other Lodgings,0,2022-06-05
washington,Healthcare,"3,427",2022-06-05
washington,Senior Facilities/Communities,75,2022-06-05
washington,Disability/AFN Organizations,0,2022-06-05
washington,Non-Profit Organizations,144,2022-06-05
washington,Neighborhood Groups,0,2022-06-05
washington,Preparedness Organizations,0,2022-06-05
washington,Faith-based Organizations,0,2022-06-05
washington,"Museums, Libraries, Parks, etc.",45,2022-06-05
washington,Animal Shelter/Service Providers,0,2022-06-05
washington,Agriculture/Livestock Sector,0,2022-06-05
washington,Volunteer Radio Groups,26,2022-06-05
washington,Science/Engineering Organizations,35,2022-06-05
washington,Media Organizations,0,2022-06-05
washington,Other,50,2022-06-05
wyoming,"<tr><td align=""left""><a href=""https://www.shakeout.org/wyoming/participant_list.php?start=wyoming&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">0</td></tr>",0,2022-06-05
wyoming,Childcare and Pre-Schools,0,2022-06-05
