state,category,number,date
southeast,Volunteer Radio Groups,0,2022-06-14
southeast,Science/Engineering Organizations,0,2022-06-14
southeast,Media Organizations,0,2022-06-14
southeast,Other,11,2022-06-14
texas,"<tr><td align=""left""><a href=""https://www.shakeout.org/texas/participant_list.php?start=texas&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">2</td></tr>",2,2022-06-14
texas,Childcare and Pre-Schools,0,2022-06-14
texas,K-12 Schools and Districts,0,2022-06-14
texas,Colleges and Universities,0,2022-06-14
texas,Local Government,0,2022-06-14
texas,State Government,0,2022-06-14
texas,Federal/National Government (Including Military),150,2022-06-14
texas,Tribes/Indigenous Peoples,0,2022-06-14
texas,Businesses,75,2022-06-14
texas,Hotels and Other Lodgings,12,2022-06-14
texas,Healthcare,0,2022-06-14
texas,Senior Facilities/Communities,0,2022-06-14
texas,Disability/AFN Organizations,0,2022-06-14
texas,Non-Profit Organizations,0,2022-06-14
texas,Neighborhood Groups,0,2022-06-14
texas,Preparedness Organizations,0,2022-06-14
texas,Faith-based Organizations,0,2022-06-14
texas,"Museums, Libraries, Parks, etc.",0,2022-06-14
texas,Animal Shelter/Service Providers,0,2022-06-14
texas,Agriculture/Livestock Sector,0,2022-06-14
texas,Volunteer Radio Groups,0,2022-06-14
texas,Science/Engineering Organizations,0,2022-06-14
texas,Media Organizations,0,2022-06-14
texas,Other,0,2022-06-14
uppermidwest,"<tr><td align=""left""><a href=""https://www.shakeout.org/uppermidwest/participant_list.php?start=uppermidwest&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">0</td></tr>",0,2022-06-14
uppermidwest,Childcare and Pre-Schools,0,2022-06-14
uppermidwest,K-12 Schools and Districts,0,2022-06-14
uppermidwest,Colleges and Universities,0,2022-06-14
uppermidwest,Local Government,0,2022-06-14
uppermidwest,State Government,0,2022-06-14
uppermidwest,Federal/National Government (Including Military),0,2022-06-14
uppermidwest,Tribes/Indigenous Peoples,0,2022-06-14
uppermidwest,Businesses,0,2022-06-14
uppermidwest,Hotels and Other Lodgings,0,2022-06-14
uppermidwest,Healthcare,0,2022-06-14
